2016-04-19 12:54:32	admin	http://church.markgoldsmith.me/blog/what-giving-does/	Error: 	Call to a member function size() on a non-object (line 12 of /home/cfbjvjkv/public_html/church/site/templates/post.php)
2016-04-19 12:54:34	admin	http://church.markgoldsmith.me/blog/what-giving-does/	Error: 	Call to a member function size() on a non-object (line 12 of /home/cfbjvjkv/public_html/church/site/templates/post.php)
2016-04-19 12:55:28	guest	http://church.markgoldsmith.me/blog/what-giving-does/	Error: 	Call to a member function size() on a non-object (line 12 of /home/cfbjvjkv/public_html/church/site/templates/post.php)
2016-04-19 12:55:28	guest	http://church.markgoldsmith.me/blog/what-giving-does/	Error: 	Call to a member function size() on a non-object (line 12 of /home/cfbjvjkv/public_html/church/site/templates/post.php)
2016-04-19 12:55:48	guest	http://church.markgoldsmith.me/blog/	Error: 	Exception: Field does not exist: message_recap (in /home/cfbjvjkv/public_html/church/wire/core/PageFinder.php line 538)
2016-04-19 12:55:48	admin	http://church.markgoldsmith.me/blog/	Error: 	Exception: Field does not exist: message_recap (in /home/cfbjvjkv/public_html/church/wire/core/PageFinder.php line 538)  #0 [internal function]: PageFinder->___getQuery(Object(Selectors), Array) #1 /home/cfbjvjkv/public_html/church/wire/core/Wire.php(398): call_user_func_array(Array, Array) #2 /home/cfbjvjkv/public_html/church/wire/core/Wire.php(333): Wire->runHooks('getQuery', Array) #3 /home/cfbjvjkv/public_html/church/wire/core/PageFinder.php(280): Wire->__call('getQuery', Array) #4 /home/cfbjvjkv/public_html/church/wire/core/PageFinder.php(280): PageFinder->getQuery(Object(Selectors), Array) #5 [internal function]: PageFinder->___find(Object(Selectors), Array) #6 /home/cfbjvjkv/public_html/church/wire/core/Wire.php(398): call_user_func_array(Array, Array) #7 /home/cfbjvjkv/public_html/church/wire/core/Wire.php(333): Wire->runHooks('find', Array) #8 /home/cfbjvjkv/public_html/church/wire/core/Pages.php(216): Wire->__call('find', Array) #9 /home/cfbjvjkv/public_html/church/wire/core/Pages.php(216): PageFind
2016-04-19 12:55:49	guest	http://church.markgoldsmith.me/blog/	Error: 	Exception: Field does not exist: message_recap (in /home/cfbjvjkv/public_html/church/wire/core/PageFinder.php line 538)
2016-04-19 13:05:37	admin	http://church.markgoldsmith.me/	Error: 	Call to a member function first() on a non-object (line 308 of /home/cfbjvjkv/public_html/church/site/templates/home.php)
2016-04-19 13:10:07	guest	http://church.markgoldsmith.me/blog/author/	Parse Error: 	syntax error, unexpected '=' (line 22 of /home/cfbjvjkv/public_html/church/site/templates/blog-author.php)
2016-04-19 13:10:08	admin	http://church.markgoldsmith.me/blog/author/	Parse Error: 	syntax error, unexpected '=' (line 22 of /home/cfbjvjkv/public_html/church/site/templates/blog-author.php)
